ticker,pattern_type,entry_price,stop_price,last_close,ribbon_width_pct,squeeze_days_ago,expanding,breakout,pole_gain_pct,pole_len,flag_len,retracement_pct,volume_ratio,n_contractions,contraction_pcts,first_contraction_pct,final_contraction_pct,volume_dryup_ratio,base_len,extension_pct,risk_pct,is_lre,eps_yoy_q1_pct,eps_yoy_q2_pct,eps_yoy_q3_pct,eps_yoy_q4_pct,eps_qoq_q1_pct,eps_qoq_q2_pct,eps_qoq_q3_pct,eps_qoq_q4_pct,eps_min_yoy_pct,eps_full_history_available,days_to_earnings,revenue_yoy_q1_pct,revenue_yoy_q2_pct,revenue_yoy_q3_pct,revenue_yoy_q4_pct,revenue_qoq_q1_pct,revenue_qoq_q2_pct,revenue_qoq_q3_pct,revenue_qoq_q4_pct,revenue_min_yoy_pct,revenue_full_history_available,passes_growth
SSRM,bull_flag,39.439998626708984,34.36000061035156,34.810001373291016,,,,False,47.6561005111173,15.0,13.0,38.32460272149117,0.711317820769651,,,,,,,-11.739344357589578,1.2927341142960405,False,11.904761904761907,-285.71428571428567,2700.0000000000186,519.9999999999999,,-161.9047619047619,170.9677419354839,-26.190476190476186,-285.71428571428567,True,48.76855784047453,35.24840311119961,131.28904679313678,-5.8066292637593335,-11.487539598138675,7.519655413996218,28.025486170629787,-4.31894321295302,2.688517741214258,-11.487539598138675,True,False
PAYS,bull_flag,14.020000457763672,12.079999923706055,12.829999923706055,,,,False,47.4452567084374,14.0,13.0,45.274732599164835,0.8471946609631539,,,,,,,-8.487877997169724,5.845674235852654,False,450.0,79.99999999999999,0.0,33.33333333333335,22.222222222222232,349.9999999999999,-49.999999999999986,100.0,0.0,True,56.76884112688658,48.08443370347535,50.75921802755747,45.80637439089279,41.55655408529033,0.76197934662805,23.217677404316795,5.365310028792658,13.198859461296264,41.55655408529033,True,False
ACRV,bull_flag,2.255000114440918,1.940000057220459,1.9600000381469727,,,,False,47.333335876464844,15.0,15.0,38.02816428449581,0.499426792696352,,,,,,,-13.082042630719984,1.020407170268328,False,,,,,,,,,,False,,,,,,,,,,,False,False
RCMT,bull_flag,43.09000015258789,38.93000030517578,40.0,,,,False,47.265074775154226,9.0,13.0,22.774479221643258,0.625070652141578,,,,,,,-7.171037692378175,2.674999237060547,False,36.00000000000001,-3.703703703703709,110.52631578947363,-14.28571428571428,30.76923076923077,-35.0,166.66666666666669,-40.0,-14.28571428571428,True,49.76869844520833,20.021492720620216,-1.698767653569777,12.434990638651966,16.439990060465504,12.979599701341549,-3.9756695499329253,23.0292079841796,-10.077271447944113,-1.698767653569777,True,False
ANF,bull_flag,150.0,140.52000427246094,140.6199951171875,,,,False,47.10776346632819,15.0,3.0,23.737159080067432,0.5636986182271243,,,,,,,-6.253336588541666,0.07110713141700356,False,43.29896907216495,-7.547169811320764,1.4084507042253946,-5.600000000000005,183.6734693877551,-59.16666666666668,52.54237288135597,-18.900343642611695,-7.547169811320764,True,70.43678591851852,4.809773614880508,1.5045871225204177,5.355800966233559,6.753953378341482,13.724646958532837,-33.29622314501959,29.37993319484682,6.789815979347313,1.5045871225204177,True,False
ABOS,bull_flag,3.2899999618530273,2.7300000190734863,2.7899999618530273,,,,False,46.976741658732315,15.0,15.0,42.574264437366374,0.8330441367729615,,,,,,,-15.197568565270892,2.1505356128998296,False,,,,,,,,,,False,56.43684640923611,,,,,,,,,,False,False
PRE,bull_flag,27.239999771118164,22.5,24.1200008392334,,,,False,46.97647873979152,15.0,11.0,44.69606999765389,0.6852680134103939,,,,,,,-11.453740668503295,6.716421156164796,False,,,,,,,,,,False,55.43539416542824,,,,,,,,,,False,False
HL,bull_flag,21.690000534057617,18.59000015258789,18.81999969482422,,,,False,46.742207794576565,15.0,15.0,32.21885289187687,0.6949848114977726,,,,,,,-13.231907646691507,1.2221017320185263,False,88.8888888888889,-160.0,566.6666666666667,,,-114.99999999999999,33.33333333333335,66.66666666666667,-160.0,False,50.76934869581019,52.44894790677286,100.37256372544246,135.9860607638541,67.10202582777404,-18.856533141483546,-30.165101985738797,43.856063602756244,87.01231095199824,52.44894790677286,True,False
EOLS,bull_flag,9.3100004196167,7.75,7.929999828338623,,,,False,46.6503357728385,15.0,13.0,42.907186293815144,0.792678506136553,,,,,,,-14.822776896661965,2.269859170682151,False,,,,,,-1699.9999999999986,,,,False,49.76958902435185,21.18120108954127,6.735063191383794,14.38053377582429,12.903331423426367,14.967800155871846,-19.00664451827242,30.932184958023413,-0.6053007047429615,6.735063191383794,True,False
FRNM,bull_flag,17.174999237060547,14.25,14.960000038146973,,,,False,46.19376301969578,14.0,6.0,49.62546846578961,0.6067280534415466,,,,,,,-12.896648019255839,4.74598954770402,False,,,,,,,,,,False,,,,,,,,,,,False,False
GTE,bull_flag,11.069999694824219,9.40999984741211,10.569999694824219,,,,False,45.68081874686356,14.0,14.0,17.307691719875276,0.2372009436334563,,,,,,,-4.516711958300912,10.974454880827698,False,,,,-1524.9999999999998,,,,,-1524.9999999999998,False,50.43604192979167,25.450510667878735,2.2894696259742053,-12.396760970093501,-1.7138309975864296,8.82881629150285,32.511179751970865,-12.917277234678926,-0.10494091225068392,-12.396760970093501,True,False
PSNL,bull_flag,17.639999389648438,16.0,16.290000915527344,,,,False,45.18166968638426,15.0,15.0,41.60838193127075,0.7572064186111694,,,,,,,-7.653052839181528,1.7802387920734857,False,,,,,,,,,,False,48.768719443252316,29.95989071673546,-24.91142926474157,3.2440476190476186,-43.61896612081372,44.49974146845914,-10.79850100893629,19.6619523973784,-15.741440446433764,-43.61896612081372,True,False
SGMT,bull_flag,11.449000358581543,9.949999809265137,10.880000114440918,,,,False,44.16314778511157,15.0,15.0,9.554146607994433,0.6286325291465077,,,,,,,-4.969868340637562,8.547796832661803,False,,,,,,,,,,False,57.43527392996528,,,,,,,,,,False,False
CNH,bull_flag,14.3100004196167,13.279999732971191,13.75,,,,False,43.569292142588665,13.0,5.0,25.62928867023971,0.6202625960659819,,,,,,,-3.9133501271532394,3.418183760209517,False,-35.29411764705883,-90.0,-42.8571428571429,-75.0,1000.0,-87.5,33.33333333333328,-64.70588235294117,-90.0,True,54.4364677540162,3.0340711265854248,-0.06305170239596647,7.7984984257689405,-7.380535401551159,30.69400630914827,-28.780049427095033,20.232306861156136,-7.933349912956977,-7.380535401551159,True,False
KRO,bull_flag,9.028054572714085,7.909999847412109,8.050000190734863,,,,False,43.47825012491495,14.0,13.0,35.351397782844366,0.7362334728526346,,,,,,,-10.833500995167238,1.7391346584548792,False,,-125.0,,-151.61290322580646,,,,,-151.61290322580646,False,50.769209416215276,12.884304207119746,4.083299305839128,-1.1344835736232572,-5.735506498865273,9.474303648489602,21.87425292852021,-8.448238126504704,-7.584951456310685,-5.735506498865273,True,False
WPM,bull_flag,163.89999389648438,144.02999877929688,149.6699981689453,,,,False,43.39546305534485,15.0,14.0,33.334744495013695,0.8109587252384785,,,,,,,-8.682120962448854,3.7682898768276116,False,,,,,,,,,,False,50.76826191413195,,,,,,,,,,False,False
