ticker,pattern_type,entry_price,stop_price,last_close,n_contractions,contraction_pcts,first_contraction_pct,final_contraction_pct,volume_dryup_ratio,base_len,breakout,ribbon_width_pct,squeeze_days_ago,expanding,pole_gain_pct,pole_len,flag_len,retracement_pct,volume_ratio,extension_pct,risk_pct,is_lre,eps_min_yoy_pct,eps_full_history_available,days_to_earnings,eps_yoy_q1_pct,eps_yoy_q2_pct,eps_yoy_q3_pct,eps_yoy_q4_pct,eps_qoq_q1_pct,eps_qoq_q2_pct,eps_qoq_q3_pct,eps_qoq_q4_pct,revenue_yoy_q1_pct,revenue_yoy_q2_pct,revenue_yoy_q3_pct,revenue_yoy_q4_pct,revenue_qoq_q1_pct,revenue_qoq_q2_pct,revenue_qoq_q3_pct,revenue_qoq_q4_pct,revenue_min_yoy_pct,revenue_full_history_available,passes_growth
THM,bull_flag,2.880000114440918,2.3499999046325684,2.4000000953674316,,,,,,,False,,,,60.571425301688066,15.0,14.0,43.39623235646188,0.4022624816384419,-16.666666666666664,2.0833411978347622,False,,False,55.147108966805554,,,,,-200.0,,,,,,,,,,,,,False,False
TWST,bull_flag,155.44000244140625,120.19000244140625,127.22000122070312,,,,,,,False,,,,59.02784433068919,15.0,14.0,47.002215122410576,0.7988730462380522,-18.154915579945882,5.525859701181051,False,-269.69696969696975,False,64.8137180740625,-269.69696969696975,,,,,,,-233.33333333333331,23.235162455625314,19.313956871746797,17.00427220362293,16.87994333608782,6.91956826084994,6.663904892194461,4.836934016099548,3.0731753021643327,16.87994333608782,True,False
JWEL,bull_flag,2.940000057220459,2.009999990463257,2.240000009536743,,,,,,,False,,,,58.709684762945024,11.0,13.0,49.45055002637014,0.014017001927849155,-23.809524968020284,10.267857950636923,False,,False,,,,,,,,,,,,,,,,,,,False,False
ETON,bull_flag,65.5,56.11000061035156,57.08000183105469,,,,,,,False,,,,57.916670367608724,7.0,13.0,35.20947659224053,0.4978694315135015,-12.854959036557728,1.6993713903060714,False,150.0,False,61.14798868829861,,150.0,,,599.9999999999999,,,,98.58939137785292,40.411989353084145,82.71657937666352,117.5416505230531,54.90398087859556,14.026596494525624,-5.245113317600958,18.65490278951818,40.411989353084145,True,False
IBTA,bull_flag,41.810001373291016,35.994998931884766,41.13999938964844,,,,,,,False,,,,57.124996185302734,15.0,14.0,12.509119380833692,0.517974495384134,-1.6024921349813384,12.506078109126678,False,-2250.0,True,60.14779359649305,-162.5,-2250.0,-100.98684210526316,-90.19607843137256,,,-160.0,-37.5,3.3430587360076203,-2.472391042164257,-10.016263468184594,-15.57579014611492,7.785846780548722,-6.826243137609289,6.3247657938986235,-3.2186820723244525,-15.57579014611492,True,False
SGHT,bull_flag,8.789999961853027,7.699999809265137,8.140000343322754,,,,,,,False,,,,57.034218050552,15.0,14.0,18.666680653889976,0.42590610147751296,-7.3947624727093455,5.405411738324432,False,,False,54.147216055798616,,,,,,,,,19.546105090983446,12.508567511994517,6.873230575652722,-1.2452249838765694,18.7328662808407,-3.3701250919793924,2.40630965538029,1.748108771212431,-1.2452249838765694,True,False
ARIS,bull_flag,21.46500015258789,18.799999237060547,19.540000915527344,,,,,,,False,,,,56.13773313179586,15.0,14.0,27.466681484644383,0.7867221026959756,-8.968083966346782,3.787111790147149,False,,False,46.14839597142361,,,,,,,,,,,,,,,,,,False,False
IMMX,bull_flag,14.609999656677246,11.90999984741211,12.140000343322754,,,,,,,False,,,,55.09110809596929,15.0,12.0,49.80545230784531,0.8035093603268492,-16.906224307990467,1.8945674580408844,False,,False,55.147778758067126,,,,,,,,,,,,,,,,,,False,False
AVAH,bull_flag,14.541000366210938,12.970000267028809,14.079999923706055,,,,,,,False,,,,54.41340770217229,12.0,10.0,17.45378742853562,0.6139702492919772,-3.1703488817462238,7.883520331618571,False,38.46153846153846,False,53.81502709859954,38.46153846153846,533.3333333333334,453.3333333333334,,-5.263157894736848,-77.10843373493977,1283.3333333333335,-53.846153846153854,13.727349364688157,15.859655522652826,27.43136772128525,22.18347697451786,3.48317294706868,-2.1985569375679304,6.517971129140654,5.493823286456001,13.727349364688157,True,False
TRX,bull_flag,1.2699999809265137,1.0800000429153442,1.1299999952316284,,,,,,,False,,,,53.846165602494466,15.0,14.0,28.571424516691568,0.7814907124790991,-11.023621086415284,4.424774559935741,False,,False,79.14705528894676,,,,,,,,,,,,,,,,,,False,False
AU,bull_flag,123.38999938964844,102.0999984741211,104.41999816894531,,,,,,,False,,,,53.78567035676309,15.0,14.0,45.098588609178094,0.8392515993610707,-15.374018408735463,2.221796337393722,False,,False,53.815020710543976,,,,,,,,,,,,,,,,,,False,False
AMR,bull_flag,242.5,206.8000030517578,209.41000366210938,,,,,,,False,,,,53.250970267486174,14.0,8.0,35.286930464258475,0.7842882928445615,-13.64535931459407,1.2463590872969437,False,-244.82758620689654,False,54.81508441261574,,,,-244.82758620689654,,,,,-10.419647332209415,-1.158086118259205,-15.652528587887549,-21.586095795205317,-6.117665935098648,0.8617500866951788,-1.1696429761444582,-4.277942315578443,-21.586095795205317,True,False
MTC,bull_flag,5.0,4.40500020980835,4.739999771118164,,,,,,,False,,,,53.11475899359843,12.0,3.0,16.35801519785871,0.8116203536629375,-5.200004577636719,7.067501634726623,False,,False,,,,,,,,,,,,,,,,,,,False,False
FET,bull_flag,84.16000366210938,74.26000213623047,83.0199966430664,,,,,,,False,,,,52.829084207123756,15.0,15.0,15.973487782016644,0.8132090213031928,-1.3545710188178428,10.551668105334171,False,333.33333333333337,False,47.14795108346065,333.33333333333337,,,,56.00000000000001,,-388.5245901639344,577.7777777777777,7.97862157813316,0.5880070441453,-5.570099034676579,-2.6533923950703864,3.214638971315531,3.0418231574012244,-1.7685869325804404,3.3552532866995444,-5.570099034676579,True,False
FDMT,bull_flag,16.34000015258789,12.9399995803833,13.170000076293945,,,,,,,False,,,,52.52725580361379,15.0,13.0,46.22642782584036,0.7028297068137705,-19.400245083791432,1.7463970734870864,False,,False,59.14794934303241,,,,,,-334.88372093023247,,,25106.666666666668,21664.285714285714,8508900.0,2900.0,24.089268132589424,-96.41908567399224,94444.44444444445,500.0,2900.0,True,False
MTA,bull_flag,11.600000381469727,9.819999694824219,10.199999809265137,,,,,,,False,,,,52.17390769145449,14.0,15.0,35.937506014792135,0.6211869046315559,-12.06897005314761,3.725491387713028,False,,False,61.14761752623843,,,,,,,,,,,,,,,,,,False,False
SATL,bull_flag,5.78000020980835,4.5,4.789999961853027,,,,,,,False,,,,51.86246923358537,15.0,15.0,44.198901140733994,0.6072142501046858,-17.128031349814574,6.0542790013058765,False,,False,61.14725185988426,,,,,,-449.9999999999999,,,236.6962774957699,98.28843995510664,108.18902260052835,26.3395739186572,125.25824253572947,-0.3665585788805825,81.22125702606029,-17.216582064297803,26.3395739186572,True,False
HZO,bull_flag,52.34000015258789,52.08000183105469,52.209999084472656,,,,,,,False,,,,51.581079633434946,14.0,15.0,0.9561202509375831,0.6397242405104383,-0.2483780430573931,0.24898918923105315,False,-185.7142857142857,False,60.81446487957176,,-185.7142857142857,-146.75324675324674,-52.941176470588246,,,-550.0000000000008,,-6.984763200382249,-16.484644070212106,7.837792260188148,-1.947890510404493,15.897628419527798,4.401220955781926,-8.507605681758502,-15.978781390804963,-16.484644070212106,True,False
DXYZ,bull_flag,36.08000183105469,30.190000534057617,32.11000061035156,,,,,,,False,,,,51.37615749150568,14.0,15.0,37.92517161268892,0.7492709506410224,-11.003328767256534,5.979445779502662,False,,False,,,,,,,,,,,,,,,,,,,False,False
SCZM,bull_flag,10.6899995803833,8.753299713134766,9.649999618530273,,,,,,,False,,,,51.083593982167464,14.0,15.0,30.50607447155609,0.8101279330337557,-9.72871845347385,9.29222736624396,False,,False,75.14723806775463,,,,,,,,,,,,,,,,,,False,False
IAG,bull_flag,21.950000762939453,19.25,20.260000228881836,,,,,,,False,,,,49.79729588228565,15.0,12.0,39.62008306154046,0.5836738478041872,-7.6993187941525125,4.985193570935999,False,,False,52.147790127800924,,,,,,,,,,,,,,,,,,False,False
AEM,bull_flag,221.6877455928643,193.3000030517578,200.36000061035156,,,,,,,False,,,,48.801529246711354,15.0,12.0,41.33439085119438,0.6833275528478162,-9.62062423679554,3.523656187406198,False,,False,46.148470297708336,,,,,,,,,,,,,,,,,,False,False
HNST,bull_flag,6.010000228881836,5.21999979019165,5.409999847412109,,,,,,,False,,,,48.57142680208841,15.0,11.0,26.737969550758173,0.5767740080472568,-9.983367031940313,3.512015944165805,False,-100.0,False,53.147825283263884,200.0,-100.0,,,,,-2200.0,-66.66666666666666,-10.866797205191581,-19.692544987146533,-11.819265402606248,-6.717252637625082,6.663337558739557,-11.288435544146214,-4.897862181460722,-0.9501492633133268,-19.692544987146533,True,False
TITN,bull_flag,26.440000534057617,23.15999984741211,23.219999313354492,,,,,,,False,,,,48.135582955760945,13.0,4.0,35.91549280009348,0.6451029756947073,-12.178521768770052,0.2583956404678935,False,-28.57142857142857,False,72.8137567179051,,,,-28.57142857142857,,,-3279.9999999999995,,-9.158056168630335,-12.1067880794702,-15.539246842763921,-5.194579773588459,-4.976635827107034,-18.61132534062493,-0.41504398690478395,17.95009754294268,-15.539246842763921,True,False
SSRM,bull_flag,39.439998626708984,35.689998626708984,36.2400016784668,,,,,,,False,,,,47.6561005111173,15.0,12.0,27.814981766093556,0.7025198018364702,-8.113582808481976,1.517668394824096,False,-285.71428571428567,True,52.14716611112269,11.904761904761907,-285.71428571428567,2700.0000000000186,519.9999999999999,,-161.9047619047619,170.9677419354839,-26.190476190476186,35.24840311119961,131.28904679313678,-5.8066292637593335,-11.487539598138675,7.519655413996218,28.025486170629787,-4.31894321295302,2.688517741214258,-11.487539598138675,True,False
