ticker,pattern_type,entry_price,stop_price,last_close,ribbon_width_pct,squeeze_days_ago,expanding,breakout,n_contractions,contraction_pcts,first_contraction_pct,final_contraction_pct,volume_dryup_ratio,base_len,pole_gain_pct,pole_len,flag_len,retracement_pct,volume_ratio,extension_pct,risk_pct,is_lre,eps_yoy_q1_pct,eps_yoy_q2_pct,eps_yoy_q3_pct,eps_yoy_q4_pct,eps_qoq_q1_pct,eps_qoq_q2_pct,eps_qoq_q3_pct,eps_qoq_q4_pct,eps_min_yoy_pct,eps_full_history_available,days_to_earnings,revenue_yoy_q1_pct,revenue_yoy_q2_pct,revenue_yoy_q3_pct,revenue_yoy_q4_pct,revenue_qoq_q1_pct,revenue_qoq_q2_pct,revenue_qoq_q3_pct,revenue_qoq_q4_pct,revenue_min_yoy_pct,revenue_full_history_available,passes_growth
MRVL,vcp,241.8800048828125,213.6300048828125,240.75999450683594,,,,False,2.0,21%->12%,21.201889117151417,11.679344894046423,0.5624418816799285,14.0,,,,,,-0.46304380410410195,11.268479084158283,False,50.0,-80.0,95.65217391304337,,725.0,-91.11111111111111,-79.54545454545456,900.0,-80.0,False,74.8429151239699,36.54852699267235,27.568195008705754,22.080994827775946,36.83134357891959,13.297212341798325,8.973723351512142,6.951072547601833,3.409600717810668,22.080994827775946,True,False
MS,vcp,222.0,200.25979614257812,203.52000427246094,,,,False,2.0,13%->10%,12.620022320353403,9.792884620460304,0.6639522135637683,45.0,,,,,,-8.32432239979237,1.6019104075480621,False,62.44131455399062,31.92307692307692,20.179372197309455,48.93617021276595,0.8746355685131046,27.985074626865615,-4.285714285714226,31.45539906103285,20.179372197309455,True,26.509581148124997,,,,,,,,,,False,False
MTC,vcp,4.849999904632568,4.431000232696533,6.559999942779541,,,,True,2.0,12%->9%,11.899995803833008,8.639168663401824,0.20642570281124498,7.0,,,,,,35.2577334385849,32.454264156303154,False,,,,,,,,,,False,,,,,,,,,,,False,False
MUR,vcp,40.689998626708984,37.52000045776367,37.689998626708984,,,,False,3.0,18%->13%->8%,18.220660999098623,7.79060770688874,0.7623442729809502,33.0,,,,,,-7.3728191232496005,0.45104318158516316,False,893.75,-26.0,-77.14285714285715,-102.15053763440861,329.72972972972974,362.5000000000003,,-112.5,-102.15053763440861,True,47.84291353377315,35.61403380351798,8.862991095982053,-8.436707518511765,-4.275667214131229,26.486917528954578,19.454104168433695,-14.963535034939234,5.5486666715466315,-8.436707518511765,True,False
NEM,vcp,130.7100067138672,120.0,124.38999938964844,,,,False,2.0,10%->8%,10.155955847293727,8.193715984815224,0.7063382985213458,16.0,,,,,,-4.835136561543955,3.5292221329601254,False,11.351351351351347,78.57142857142858,-3.252032520325243,108.74999999999999,-31.333333333333336,152.10084033613458,-28.742514970059908,-9.72972972972974,-3.252032520325243,True,34.84291365699074,15.064886214030459,45.84830339321358,20.629865534324132,19.95656894679696,-16.27206788011496,7.172191258433558,23.425054308472127,3.8931728418281075,15.064886214030459,True,False
NEOG,vcp,12.260000228881836,11.369999885559082,12.829999923706055,,,,True,2.0,13%->7%,13.229577528969806,7.259382762702654,0.44049396646363304,32.0,,,,,,4.649263329387435,11.379579476452866,False,,,,,,,-141.1764705882353,,,False,18.842914441203703,-0.05278589773730635,-4.434389140271488,-2.8396855460135484,-3.583543813720247,6.685606060606064,-6.004245830941157,7.410523497889465,-7.20815830446373,-4.434389140271488,True,False
NUE,vcp,280.1099853515625,238.6199951171875,265.1400146484375,,,,False,2.0,21%->15%,20.58432061490983,14.812035416124647,0.6485489259457964,65.0,,,,,,-5.344318834023849,10.002269769206368,False,93.84615384615384,382.08955223880594,27.55905511811012,150.47619047619048,56.03715170278638,99.38271604938281,-38.40304182509509,1.1538461538461497,27.55905511811012,True,38.84288591041667,22.95411542100283,21.27713920817369,8.634821933295655,14.468027941966689,9.488205560235885,23.53323793417459,-9.787583616946371,0.7686849574266796,8.634821933295655,True,False
NVGS,vcp,22.47609971783167,19.655373832494675,25.059999465942383,,,,True,2.0,21%->13%,20.98446157237198,12.549890420263349,0.6828281551762129,67.0,,,,,,11.496210554986758,21.566742811757944,False,,,,,,,,,,False,47.842860911469906,,,,,,,,,,False,False
NWE,vcp,73.43835485182716,67.3499984741211,69.30000305175781,,,,False,2.0,11%->8%,11.163878020708095,8.290431328411742,0.7052403860954156,91.0,,,,,,-5.6351368551475405,2.813859295475538,False,14.285714285714302,-17.599999999999994,-45.03816793893128,-18.42105263157895,-61.165048543689316,43.055555555555515,16.129032258064548,77.14285714285715,-45.03816793893128,True,40.84285839304398,3.280168522419502,-0.907441016333943,-14.53396524486572,25.447445493003574,4.761904761904767,-24.30683918669131,12.269779507133594,16.009629852542883,-14.53396524486572,True,False
NXG,vcp,62.09023689079536,53.70000076293945,54.630001068115234,,,,False,2.0,17%->14%,17.121864351658513,13.51297168122051,0.5733934137358891,54.0,,,,,,-12.015151167487456,1.7023618652619346,False,,,,,,,,,,False,,,,,,,,,,,False,False
